filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
amostra-24_original.jpg,44063,"{}",14,0,"{""name"":""rect"",""x"":6,""y"":274,""width"":106,""height"":84}","{}"
amostra-24_original.jpg,44063,"{}",14,1,"{""name"":""rect"",""x"":73,""y"":357,""width"":102,""height"":58}","{}"
amostra-24_original.jpg,44063,"{}",14,2,"{""name"":""rect"",""x"":199,""y"":200,""width"":117,""height"":98}","{}"
amostra-24_original.jpg,44063,"{}",14,3,"{""name"":""rect"",""x"":348,""y"":241,""width"":96,""height"":70}","{}"
amostra-24_original.jpg,44063,"{}",14,4,"{""name"":""rect"",""x"":259,""y"":373,""width"":116,""height"":85}","{}"
amostra-24_original.jpg,44063,"{}",14,5,"{""name"":""rect"",""x"":420,""y"":351,""width"":180,""height"":75}","{}"
amostra-24_original.jpg,44063,"{}",14,6,"{""name"":""rect"",""x"":671,""y"":291,""width"":72,""height"":87}","{}"
amostra-24_original.jpg,44063,"{}",14,7,"{""name"":""rect"",""x"":764,""y"":223,""width"":67,""height"":169}","{}"
amostra-24_original.jpg,44063,"{}",14,8,"{""name"":""rect"",""x"":680,""y"":390,""width"":67,""height"":90}","{}"
amostra-24_original.jpg,44063,"{}",14,9,"{""name"":""rect"",""x"":687,""y"":130,""width"":65,""height"":112}","{}"
amostra-24_original.jpg,44063,"{}",14,10,"{""name"":""rect"",""x"":464,""y"":90,""width"":85,""height"":98}","{}"
amostra-24_original.jpg,44063,"{}",14,11,"{""name"":""rect"",""x"":557,""y"":174,""width"":52,""height"":98}","{}"
amostra-24_original.jpg,44063,"{}",14,12,"{""name"":""rect"",""x"":499,""y"":431,""width"":87,""height"":76}","{}"
amostra-24_original.jpg,44063,"{}",14,13,"{""name"":""rect"",""x"":327,""y"":502,""width"":99,""height"":90}","{}"
amostra-43_original.jpg,35781,"{}",11,0,"{""name"":""rect"",""x"":191,""y"":142,""width"":82,""height"":119}","{}"
amostra-43_original.jpg,35781,"{}",11,1,"{""name"":""rect"",""x"":277,""y"":237,""width"":90,""height"":93}","{}"
amostra-43_original.jpg,35781,"{}",11,2,"{""name"":""rect"",""x"":376,""y"":274,""width"":102,""height"":79}","{}"
amostra-43_original.jpg,35781,"{}",11,3,"{""name"":""rect"",""x"":317,""y"":327,""width"":97,""height"":66}","{}"
amostra-43_original.jpg,35781,"{}",11,4,"{""name"":""rect"",""x"":417,""y"":360,""width"":82,""height"":45}","{}"
amostra-43_original.jpg,35781,"{}",11,5,"{""name"":""rect"",""x"":472,""y"":295,""width"":136,""height"":127}","{}"
amostra-43_original.jpg,35781,"{}",11,6,"{""name"":""rect"",""x"":300,""y"":411,""width"":76,""height"":80}","{}"
amostra-43_original.jpg,35781,"{}",11,7,"{""name"":""rect"",""x"":678,""y"":18,""width"":54,""height"":191}","{}"
amostra-43_original.jpg,35781,"{}",11,8,"{""name"":""rect"",""x"":712,""y"":46,""width"":60,""height"":78}","{}"
amostra-43_original.jpg,35781,"{}",11,9,"{""name"":""rect"",""x"":746,""y"":99,""width"":72,""height"":76}","{}"
amostra-43_original.jpg,35781,"{}",11,10,"{""name"":""rect"",""x"":832,""y"":96,""width"":40,""height"":102}","{}"
amostra-45_original.jpg,24887,"{}",5,0,"{""name"":""rect"",""x"":24,""y"":276,""width"":200,""height"":87}","{}"
amostra-45_original.jpg,24887,"{}",5,1,"{""name"":""rect"",""x"":379,""y"":254,""width"":101,""height"":65}","{}"
amostra-45_original.jpg,24887,"{}",5,2,"{""name"":""rect"",""x"":584,""y"":325,""width"":73,""height"":87}","{}"
amostra-45_original.jpg,24887,"{}",5,3,"{""name"":""rect"",""x"":698,""y"":324,""width"":72,""height"":88}","{}"
amostra-45_original.jpg,24887,"{}",5,4,"{""name"":""rect"",""x"":611,""y"":406,""width"":81,""height"":58}","{}"
